Year,maxDHW,RCP,Reef
2046,2.651799646,4.5,Thetford
2047,2.702038494,4.5,Thetford
2048,0,4.5,Thetford
2049,6.284511723,4.5,Thetford
2050,4.231076458,4.5,Thetford
2051,5.014704404,4.5,Thetford
2052,13.16323887,4.5,Thetford
2053,10.78764102,4.5,Thetford
2054,2.643984543,4.5,Thetford
2055,5.907620827,4.5,Thetford
2056,6.576432688,4.5,Thetford
2057,3.783667407,4.5,Thetford
2058,6.657039097,4.5,Thetford
2059,9.646608856,4.5,Thetford
2060,1.926098118,4.5,Thetford
2061,9.471824649,4.5,Thetford
2062,3.055272446,4.5,Thetford
2063,4.437825532,4.5,Thetford
2064,13.65601807,4.5,Thetford
2065,3.575799609,4.5,Thetford
2066,10.04824389,4.5,Thetford
2067,4.765082669,4.5,Thetford
2068,8.300522893,4.5,Thetford
2069,9.879877503,4.5,Thetford
2070,3.252548633,4.5,Thetford
2071,20.76401652,4.5,Thetford
2072,10.12815459,4.5,Thetford
2073,4.499361668,4.5,Thetford
2074,17.90593612,4.5,Thetford
2075,24.65878295,4.5,Thetford
2076,9.633059849,4.5,Thetford
2077,14.48764145,4.5,Thetford
2078,9.808352052,4.5,Thetford
2079,8.552907284,4.5,Thetford
2080,11.43349375,4.5,Thetford
2081,22.77797969,4.5,Thetford
2082,7.0488755,4.5,Thetford
2083,19.01328039,4.5,Thetford
2084,6.453981248,4.5,Thetford
2085,26.15560579,4.5,Thetford
2086,18.80433356,4.5,Thetford
2087,21.47465649,4.5,Thetford
2088,8.166300089,4.5,Thetford
2089,18.89900016,4.5,Thetford
2090,20.60458411,4.5,Thetford
2091,4.825349008,4.5,Thetford
2092,21.03471293,4.5,Thetford
2093,9.8872754,4.5,Thetford
2094,25.80260191,4.5,Thetford
2095,17.18059442,4.5,Thetford
2096,10.86090858,4.5,Thetford
2097,9.391890354,4.5,Thetford
2098,1.27766923,4.5,Thetford
2099,10.83802614,4.5,Thetford
2021,0.610146053,6,Thetford
2022,1.699930192,6,Thetford
2023,0.148955806,6,Thetford
2024,2.988292846,6,Thetford
2025,0,6,Thetford
2026,1.23492831,6,Thetford
2027,12.76070486,6,Thetford
2028,3.821498966,6,Thetford
2029,0.443436305,6,Thetford
2030,4.501132268,6,Thetford
2031,0.149670005,6,Thetford
2032,1.856984094,6,Thetford
2033,0,6,Thetford
2034,0,6,Thetford
2035,0.698376732,6,Thetford
2036,0,6,Thetford
2037,0,6,Thetford
2038,0.763503126,6,Thetford
2039,7.063721082,6,Thetford
2040,0.746475848,6,Thetford
2041,14.85777003,6,Thetford
2042,11.31010749,6,Thetford
2043,7.238841154,6,Thetford
2044,3.780548878,6,Thetford
2045,12.34825937,6,Thetford
2046,0.460364841,6,Thetford
2047,0.323467349,6,Thetford
2048,7.348516646,6,Thetford
2049,0.891035866,6,Thetford
2050,2.541867696,6,Thetford
